172.17.0.1 - - [09/Mar/2020:19:02:20 +0000] "POST /wp-cron.php?doing_wp_cron=1583780540.7673180103302001953125 HTTP/1.0" 200 0 "http://convergence.local/wp-cron.php?doing_wp_cron=1583780540.7673180103302001953125" "WordPress/5.3.2; http://convergence.local"
172.17.0.1 - - [09/Mar/2020:19:02:21 +0000] "GET /2020/03/09/hello-world/ HTTP/1.0" 200 30866 "http://convergence.local/2020/03/09/hello-world/" "WordPress/5.3.2; http://convergence.local"
172.17.0.1 - - [09/Mar/2020:19:04:08 +0000] "GET / HTTP/1.0" 200 25824 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36"
172.17.0.1 - - [09/Mar/2020:19:05:27 +0000] "GET / HTTP/1.0" 200 25824 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36"
172.17.0.1 - - [09/Mar/2020:19:11:02 +0000] "GET / HTTP/1.0" 200 25824 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36"
172.17.0.1 - - [09/Mar/2020:19:11:06 +0000] "GET /wp-admin HTTP/1.0" 301 185 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36"
172.17.0.1 - - [09/Mar/2020:19:11:07 +0000] "GET /wp-admin/ HTTP/1.0" 302 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36"
172.17.0.1 - - [09/Mar/2020:19:11:07 +0000] "GET /wp-login.php?redirect_to=http%3A%2F%2Fconvergence.local%2Fwp-admin%2F&reauth=1 HTTP/1.0" 200 4878 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36"
172.17.0.1 - - [09/Mar/2020:19:11:14 +0000] "POST /wp-login.php HTTP/1.0" 302 0 "http://convergence.local/wp-login.php?redirect_to=http%3A%2F%2Fconvergence.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36"
172.17.0.1 - - [09/Mar/2020:19:11:15 +0000] "GET /wp-admin/ HTTP/1.0" 200 57937 "http://convergence.local/wp-login.php?redirect_to=http%3A%2F%2Fconvergence.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36"
172.17.0.1 - - [09/Mar/2020:19:11:15 +0000] "GET /wp-admin/load-scripts.php?c=0&load%5Bchunk_0%5D=jquery-core,jquery-migrate,utils&ver=5.3.2 HTTP/1.0" 200 108765 "http://convergence.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36"
172.17.0.1 - - [09/Mar/2020:19:11:15 +0000] "GET /wp-admin/load-styles.php?c=0&dir=ltr&load%5Bchunk_0%5D=dashicons,admin-bar,common,forms,admin-menu,dashboard,list-tables,edit,revisions,media,themes,about,nav-menus,wp-pointer,widgets&load%5Bchunk_1%5D=,site-icon,l10n,buttons,wp-auth-check&ver=5.3.2 HTTP/1.0" 200 352943 "http://convergence.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36"
